City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Sobolevo,RU,54.4299,31.8996,30.31,84,91,13.35,overcast clouds
Moïssala,TD,8.3404,17.7663,77.94,56,1,4.21,clear sky
Kieta,PG,-6.2167,155.6333,83.91,72,95,4.83,light rain
Rongcheng,CN,30.634,117.8517,66.47,51,76,2.73,broken clouds
Paamiut,GL,61.994,-49.6678,22.48,86,28,0.34,scattered clouds
Estelle,US,29.8458,-90.1067,75.2,76,100,8.05,overcast clouds
The Pas,CA,53.8251,-101.2541,24.82,39,75,2.3,broken clouds
Gazli,UZ,40.1333,63.45,70.39,43,13,17.45,few clouds
Khovd,MN,48.0056,91.6419,52.11,12,0,3.56,clear sky
Rancho Palos Verdes,US,33.7445,-118.387,61.95,90,20,12.66,few clouds
Lusambo,CD,-4.9667,23.45,68.74,99,100,1.3,overcast clouds
Balkhash,KZ,46.844,74.9804,57.81,19,0,17.9,clear sky
Hudson Bay,CA,52.85,-102.3842,18.23,97,100,2.15,overcast clouds
Champerico,GT,14.3,-91.9167,83.86,71,9,9.1,clear sky
Saint-Jérôme,CA,45.7804,-74.0036,39.07,48,75,2.3,broken clouds
Margate,GB,51.3813,1.3862,49.3,86,54,3.0,broken clouds
Ranong,TH,9.9658,98.6348,85.93,60,44,3.78,scattered clouds
Obo,CF,5.3998,26.4869,67.78,96,100,3.65,overcast clouds
Prince George,CA,53.9166,-122.753,36.84,38,0,6.91,clear sky
Plátanos,GR,37.6667,21.6167,62.08,56,93,6.44,overcast clouds
Panabá,MX,21.2833,-88.2667,76.87,73,1,10.27,clear sky
Matara,LK,5.9485,80.5353,85.23,70,83,6.33,broken clouds
Tonota,BW,-21.4833,27.4833,61.14,94,100,10.76,light rain
Batemans Bay,AU,-35.7167,150.1833,71.1,49,2,10.45,clear sky
Manakara,MG,-22.1333,48.0167,73.31,87,20,1.7,few clouds
Penzance,GB,50.1186,-5.5371,50.68,87,99,12.33,overcast clouds
Hay River,CA,60.8156,-115.7999,8.58,66,75,5.75,broken clouds
Machacamarca,BO,-18.1667,-67.0333,44.31,18,10,2.35,clear sky
Tornio,FI,65.8481,24.1466,26.62,95,89,3.38,overcast clouds
Inírida,CO,3.8653,-67.9239,73.0,93,99,1.23,overcast clouds
Mgachi,RU,51.05,142.2667,39.54,64,100,6.38,light rain
Boddam,GB,57.4667,-1.7833,50.43,95,100,12.66,overcast clouds
Fortuna,US,40.5982,-124.1573,47.66,80,0,5.75,clear sky
Horní Bříza,CZ,49.8401,13.3556,37.22,92,0,0.0,clear sky
Lasem,ID,-6.6922,111.4527,87.21,67,41,4.81,scattered clouds
Bud,US,39.447,-86.1758,44.67,56,21,8.14,few clouds
Mount Isa,AU,-20.7333,139.5,91.17,16,5,5.75,clear sky
Acaraú,BR,-2.8856,-40.12,77.59,86,86,5.79,heavy intensity rain
Kiryat Gat,IL,31.61,34.7642,69.4,27,29,5.08,scattered clouds
Santa Rosalía,MX,27.3167,-112.2833,71.67,35,86,5.19,overcast clouds
Ust-Maya,RU,60.4167,134.5333,34.11,70,51,0.11,light snow
Richards Bay,ZA,-28.783,32.0377,63.55,89,100,5.88,light rain
Port Augusta,AU,-32.5,137.7667,87.26,21,100,16.04,light rain
Requena,ES,39.4883,-1.1004,51.51,55,0,5.35,clear sky
Patiya,BD,22.2931,91.9762,87.75,74,40,6.91,scattered clouds
Phibun Mangsahan,TH,15.2447,105.2291,89.1,45,60,7.18,broken clouds
Atambua,ID,-9.1061,124.8925,83.32,68,84,3.11,broken clouds
Dera Ghazi Khan,PK,30.0561,70.6348,94.71,10,28,14.03,scattered clouds
Polson,US,47.6936,-114.1632,32.22,69,100,4.12,overcast clouds
Nome,US,64.5011,-165.4064,34.11,75,100,18.41,overcast clouds
Bukama,CD,-9.2,25.85,69.89,98,100,2.1,overcast clouds
Būlaevo,KZ,54.9056,70.4439,49.24,56,8,6.76,clear sky
Denia,ES,38.8408,0.1057,63.75,67,0,1.99,clear sky
Bykovo,RU,55.6361,38.0803,32.36,69,75,13.42,light snow
Umm Kaddadah,SD,13.6017,26.6876,73.96,9,14,4.59,few clouds
Riyadh,SA,24.6877,46.7219,69.94,18,1,8.5,clear sky
Itarema,BR,-2.9248,-39.9167,76.96,87,90,5.77,light rain
São Filipe,CV,14.8961,-24.4956,70.5,80,33,6.51,scattered clouds
Ji’an,CN,27.1172,114.9793,53.96,86,100,3.27,overcast clouds
Kasongo-Lunda,CD,-6.4667,16.8167,69.76,99,100,1.74,light rain
Port-Cartier,CA,50.0334,-66.8654,30.74,87,56,4.47,broken clouds
Kavaratti,IN,10.5669,72.642,84.2,73,45,6.8,scattered clouds
Jolalpan,MX,18.325,-98.8417,88.92,29,36,2.86,scattered clouds
Hervey Bay,AU,-25.2986,152.8535,77.02,65,44,11.99,scattered clouds
Bogorodskoye,RU,56.55,37.8833,29.61,78,38,11.3,scattered clouds
Kerema,PG,-7.9631,145.7785,84.49,74,81,8.81,broken clouds
Dingle,PH,10.9995,122.6711,86.83,64,100,9.22,overcast clouds
Cayenne,GF,4.9333,-52.3333,81.09,1,20,4.0,few clouds
‘Āhuimanu,US,21.4447,-157.8378,80.31,79,75,13.8,shower rain
Chernyshevskiy,RU,63.0128,112.4714,31.95,97,100,9.75,light snow
Rocha,UY,-34.4833,-54.3333,53.26,92,0,2.15,clear sky
Virbalis,LT,54.6267,22.8169,31.42,79,99,4.14,overcast clouds
Ulaangom,MN,49.9811,92.0667,50.38,23,5,4.65,clear sky
Novoagansk,RU,61.9449,76.6625,26.46,73,100,12.41,overcast clouds
Kabalo,CD,-6.05,26.9167,67.64,97,100,2.89,overcast clouds
Donskoye,RU,45.4552,41.9741,51.62,74,63,8.68,broken clouds
Mumford,GH,5.2618,-0.759,77.36,86,100,5.35,overcast clouds
Lata,PT,40.1629,-8.3327,51.93,93,92,1.7,overcast clouds
Markova,UA,48.6758,24.4138,29.84,96,92,4.97,light snow
Rosarito,MX,32.3333,-117.0333,61.75,80,4,8.97,clear sky
Shenjiamen,CN,29.9576,122.298,58.15,53,47,8.77,scattered clouds
Rome,US,43.2128,-75.4557,39.34,77,100,14.0,overcast clouds
Assiut,EG,27.181,31.1837,71.78,17,1,8.16,clear sky
Mount Gambier,AU,-37.8333,140.7667,71.51,53,100,19.57,light rain
Guane,CU,22.2025,-84.0875,74.05,84,42,6.71,scattered clouds
Evanston,US,42.0411,-87.6901,37.94,71,20,5.75,few clouds
Jumla,NP,29.2747,82.1838,64.63,23,0,2.33,clear sky
Lages,BR,-27.8161,-50.3261,46.15,99,3,2.57,clear sky
Mnogovershinnyy,RU,53.9353,139.9242,28.58,89,100,7.16,overcast clouds
Dembī Dolo,ET,8.5333,34.8,57.85,94,100,4.94,overcast clouds
Ballina,AU,-28.8667,153.5667,75.16,75,40,11.5,scattered clouds
Buala,SB,-8.145,159.5921,82.87,72,95,2.84,light rain
Siparia,TT,10.1333,-61.5,76.82,92,3,12.3,clear sky
Nāgamangala,IN,12.8156,76.7575,84.29,43,25,4.83,scattered clouds
Hokitika,NZ,-42.7167,170.9667,62.01,63,100,4.14,overcast clouds
Lazarev,RU,52.225,141.5131,33.37,86,92,10.38,overcast clouds
Santa,PH,17.486,120.4348,89.02,71,93,5.79,overcast clouds
Buluang,PH,13.3068,123.3425,88.12,55,24,2.35,few clouds
Gubkinskiy,RU,64.434,76.5026,16.11,87,98,17.69,overcast clouds
Sokoto,NG,13.0609,5.239,83.07,45,82,4.65,broken clouds
Peştera,RO,44.1833,28.1333,45.34,82,100,18.5,overcast clouds
Soyo,AO,-6.1349,12.3689,76.96,92,82,6.35,broken clouds
Yavatmal,IN,20.4,78.1333,96.55,12,0,4.9,clear sky
Atyrau,KZ,47.1167,51.8833,42.82,100,75,2.24,fog
Alice Springs,AU,-23.7,133.8833,92.75,15,10,13.8,clear sky
Sovetskiy,RU,61.3614,63.5842,28.69,81,100,7.27,overcast clouds
Saint-Prosper,CA,46.2117,-70.4811,35.89,83,100,2.51,overcast clouds
San Cristobal,VE,7.7669,-72.225,75.38,96,100,4.59,overcast clouds
Shelburne,CA,44.0787,-80.2041,27.9,80,97,10.69,overcast clouds
Reconquista,AR,-29.15,-59.65,56.79,90,20,5.91,few clouds
Nepomuceno,BR,-21.2358,-45.2358,52.7,94,0,4.72,clear sky
Smoky Lake,CA,54.1169,-112.4686,24.31,90,100,6.8,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,78.22,88,75,13.8,light rain
Graaff-Reinet,ZA,-32.2522,24.5308,51.93,89,3,2.84,clear sky
Puerto Escondido,MX,15.85,-97.0667,83.23,69,40,4.61,scattered clouds
Khanpur,PK,28.6453,70.6567,95.02,7,53,4.07,broken clouds
Lake Havasu City,US,34.4839,-114.3224,80.6,13,75,11.5,broken clouds
Fauske,NO,67.2588,15.3918,42.84,92,100,0.72,overcast clouds
Pelym,RU,61.0108,61.9978,28.89,71,77,8.5,broken clouds
Yei,SS,4.095,30.6779,66.25,85,94,3.11,overcast clouds
Bentiu,SS,9.2333,29.8333,79.16,64,92,3.76,overcast clouds
Genhe,CN,50.7833,121.5167,36.7,29,20,6.78,few clouds
Siderno,IT,38.2779,16.302,60.33,74,100,7.49,overcast clouds
Rio Grande,BR,-32.035,-52.0986,65.82,74,88,9.31,overcast clouds
Deputatsky,RU,69.3,139.9,13.5,87,100,4.09,overcast clouds
Coral Hills,US,38.8704,-76.9211,60.08,72,100,3.44,overcast clouds
Isangel,VU,-19.55,169.2667,87.91,74,40,2.3,scattered clouds
La Palma,US,33.8464,-118.0467,64.81,79,40,11.5,scattered clouds
Okhotsk,RU,59.3833,143.3,28.13,75,98,9.24,overcast clouds
Tayu,ID,-6.5397,111.0518,87.13,65,23,4.9,few clouds
Marang,MY,5.2056,103.2059,87.71,71,58,5.41,broken clouds
Port Macquarie,AU,-31.4333,152.9167,70.9,75,99,4.36,overcast clouds
Banjarmasin,ID,-3.3244,114.591,86.14,66,100,2.89,overcast clouds
Bordighera,IT,43.7806,7.6645,61.09,58,83,5.99,broken clouds
Nchelenge,ZM,-9.3451,28.734,67.69,88,100,4.56,light rain
João Câmara,BR,-5.5375,-35.8197,73.49,95,89,3.89,overcast clouds
Karasjok,NO,69.4719,25.5112,37.8,96,100,12.39,overcast clouds
Husavik,IS,66.0449,-17.3389,41.13,86,53,8.63,broken clouds
Olinda,BR,-8.0089,-34.8553,82.13,83,75,3.44,broken clouds
Ilhabela,BR,-23.7781,-45.3581,66.6,85,34,3.62,scattered clouds
Nalbari,IN,26.4456,91.4354,80.58,61,3,2.35,clear sky
Novo Horizonte,BR,-21.4681,-49.2208,59.22,85,0,10.42,clear sky
Grand-Lahou,CI,5.1367,-5.0242,76.12,90,100,7.4,light rain
Anadyr,RU,64.75,177.4833,34.3,74,0,15.66,clear sky
Lovozero,RU,68.005,35.0117,36.07,99,100,20.62,overcast clouds
Ubari,LY,26.5921,12.7805,59.7,52,0,10.87,clear sky
Beira,MZ,-19.8436,34.8389,80.69,83,40,9.22,scattered clouds
Bariloche,AR,-41.1456,-71.3082,44.35,61,0,6.91,clear sky
Dali,CN,25.7,100.1833,70.11,39,16,9.73,few clouds
Fort Myers Beach,US,26.452,-81.9481,76.01,86,100,1.99,overcast clouds
Kanhangad,IN,12.3081,75.1063,86.02,66,63,0.56,broken clouds
Pangnirtung,CA,66.1451,-65.7125,1.2,87,100,6.8,overcast clouds
Buchanan,LR,5.8808,-10.0467,77.5,87,99,5.23,light rain
Ayan,RU,56.45,138.1667,28.09,76,71,7.05,broken clouds
Yuanping,CN,38.7153,112.7575,59.49,20,100,4.16,overcast clouds
Pitimbu,BR,-7.4706,-34.8086,79.39,85,74,7.56,broken clouds
Surgut,RU,61.25,73.4167,24.98,85,40,11.01,light shower snow
Cape Coast,GH,5.1053,-1.2466,76.86,86,100,6.58,overcast clouds
Kudahuvadhoo,MV,2.6708,72.8944,83.91,73,97,11.03,overcast clouds
Bisert',RU,56.8617,59.0523,32.38,62,84,4.38,broken clouds
San Ignacio,BZ,17.1561,-89.0714,82.54,74,0,4.61,clear sky
Krasnosel'kup,RU,65.7,82.4667,18.82,87,100,17.52,overcast clouds
Asău,RO,46.4333,26.4,36.52,86,100,7.27,overcast clouds
Rumoi,JP,43.9344,141.6428,47.03,82,91,14.72,overcast clouds
Podosinovets,RU,60.2776,47.0659,30.09,82,15,3.27,few clouds
Tessalit,ML,20.1986,1.0114,67.91,27,100,9.75,overcast clouds
Río Gallegos,AR,-51.6226,-69.2181,48.25,87,0,11.5,clear sky
Khandyga,RU,62.6667,135.6,28.04,77,52,2.08,broken clouds
Shōbara,JP,34.85,133.0167,65.25,25,22,4.18,few clouds
Mahon,ES,39.8885,4.2658,63.16,59,0,12.66,clear sky
Olsberg,DE,51.35,8.5,33.42,79,0,5.3,clear sky
Kabelvåg,NO,68.2114,14.4817,43.54,99,100,15.12,overcast clouds
Muisne,EC,0.6,-80.0333,76.23,86,100,6.29,light rain
Salò,IT,45.6086,10.531,51.33,77,75,2.33,broken clouds
Labuan,MY,5.2767,115.2417,86.36,79,20,5.99,few clouds
Coruripe,BR,-10.1256,-36.1756,78.44,87,24,9.55,few clouds
Lewisporte,CA,49.2499,-55.0482,42.55,86,100,9.01,overcast clouds
Sinnamary,GF,5.3833,-52.95,77.22,88,96,11.39,overcast clouds
Newport,GB,51.5877,-2.9984,52.52,76,100,4.52,overcast clouds
Bondo,CD,3.8146,23.6866,68.22,98,62,2.64,broken clouds
Grand-Santi,GF,4.25,-54.3833,71.06,99,95,2.08,overcast clouds
Wamba,NG,8.9333,8.6,75.97,79,88,1.79,overcast clouds
Kuusamo,FI,65.9667,29.1833,32.04,69,0,5.75,clear sky
Urengoy,RU,65.9667,78.3667,14.45,89,100,17.27,overcast clouds
Alghero,IT,40.5589,8.3181,55.49,62,0,8.05,clear sky
Palauig,PH,15.435,119.9045,84.7,67,56,6.24,broken clouds
Zhigansk,RU,66.7697,123.3711,20.32,90,100,18.84,overcast clouds
Inhambane,MZ,-23.865,35.3833,72.77,91,81,6.06,moderate rain
Artesia,US,33.8658,-118.0831,64.29,79,0,11.5,clear sky
Durban,ZA,-29.8579,31.0292,62.92,94,100,3.0,moderate rain
Toamasina,MG,-18.1667,49.3833,73.4,94,40,6.91,light rain
Broken Hill,AU,-31.95,141.4333,83.91,21,28,14.97,scattered clouds
Nishihara,JP,26.1842,127.7558,71.26,58,100,9.22,overcast clouds
Luzhou,CN,28.8724,105.4405,54.23,93,100,2.84,overcast clouds
Bilma,NE,18.6853,12.9164,80.71,10,84,9.1,broken clouds
Whitehorse,CA,60.7161,-135.0538,31.01,58,100,11.5,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,61.52,82,20,13.8,few clouds
Saint-Pierre,RE,-21.3393,55.4781,74.28,78,0,3.44,clear sky
Lorengau,PG,-2.0226,147.2712,84.69,71,48,4.09,scattered clouds
Bernalillo,US,35.05,-106.6673,71.15,12,0,19.57,clear sky
Jūnāgarh,IN,19.8667,82.9333,99.5,20,52,6.04,broken clouds
Brattvåg,NO,62.6002,6.4434,43.29,93,75,5.75,broken clouds
Balabac,PH,7.9868,117.0645,84.18,69,72,6.35,broken clouds
Macultepec,MX,18.1667,-92.8333,82.09,78,0,5.75,clear sky
Guánica,PR,17.9716,-66.908,78.91,82,51,11.18,broken clouds
Faanui,PF,-16.4833,-151.75,82.15,71,4,12.46,clear sky
Mongoumba,CF,3.6415,18.5936,72.16,82,50,2.64,scattered clouds
Meulaboh,ID,4.1363,96.1285,86.05,67,37,2.42,scattered clouds
Bilibino,RU,68.0546,166.4372,24.24,80,99,2.1,overcast clouds
Aketi,CD,2.7388,23.7833,69.44,96,93,1.14,overcast clouds
Williams Lake,CA,52.1415,-122.1445,40.57,28,75,2.3,broken clouds
Mandalgovi,MN,45.7625,106.2708,44.8,33,27,16.58,scattered clouds
Timbiquí,CO,2.7717,-77.6654,74.75,95,100,2.86,light rain
Bathsheba,BB,13.2167,-59.5167,79.41,78,40,20.71,scattered clouds
Antofagasta,CL,-23.65,-70.4,58.28,77,52,4.32,broken clouds
Banda Aceh,ID,5.5577,95.3222,86.67,64,63,6.15,broken clouds
Viedma,AR,-40.8135,-62.9967,54.09,82,1,7.05,clear sky
Opuwo,NA,-18.0607,13.84,66.38,44,80,3.78,broken clouds
Itoman,JP,26.1247,127.6694,71.98,57,75,9.22,broken clouds
Northam,GB,51.0333,-4.2167,53.38,74,100,7.76,overcast clouds
Kollam,IN,8.8833,76.6,85.26,70,13,4.25,few clouds
Murray Bridge,AU,-35.1167,139.2667,79.12,36,100,11.52,overcast clouds
Camaná,PE,-16.6228,-72.7111,66.11,84,97,8.28,overcast clouds
Sur,OM,22.5667,59.5289,91.85,33,24,1.5,few clouds
Homer,US,59.6425,-151.5483,42.69,66,100,8.05,overcast clouds
Saint-François,FR,46.4154,3.9054,45.68,65,0,2.3,clear sky
High Level,CA,58.5169,-117.136,21.31,68,100,16.11,overcast clouds
College,US,64.8569,-147.8028,33.75,35,20,14.97,few clouds
Mandan,US,46.8267,-100.8896,22.98,75,100,11.5,overcast clouds
Ruteng,ID,-8.6136,120.4721,72.91,79,53,1.05,broken clouds
Lethbridge,CA,49.7,-112.8186,33.91,47,100,9.22,overcast clouds
Kulykivka,UA,51.3735,31.6466,35.44,98,100,10.8,light rain
Honiara,SB,-9.4333,159.95,84.2,72,98,3.98,light rain
Moussoro,TD,13.6408,16.4901,87.04,43,65,8.25,broken clouds
Kennett,US,36.2362,-90.0556,56.97,64,75,12.66,broken clouds
Falam,MM,22.9167,93.6833,87.35,20,25,2.68,scattered clouds
San Miguel de Tucumán,AR,-26.8241,-65.2226,60.8,88,40,5.75,scattered clouds
Mutoko,ZW,-17.397,32.2268,58.32,95,15,3.62,few clouds
Preobrazheniye,RU,42.9019,133.9064,50.4,39,92,11.25,overcast clouds
Bacolod City,PH,10.6667,122.95,86.14,67,99,11.1,overcast clouds
Weligama,LK,5.9667,80.4167,85.05,69,81,6.24,broken clouds
Verkhoyansk,RU,67.5447,133.385,22.6,75,100,5.82,overcast clouds
Portland,US,45.5234,-122.6762,46.98,72,20,6.91,few clouds
Nabire,ID,-3.3667,135.4833,84.49,71,54,6.42,broken clouds
Saint-Joseph,RE,-21.3667,55.6167,73.2,77,13,9.73,few clouds
Zhigalovo,RU,54.8097,105.1578,52.88,70,89,6.98,overcast clouds
Labuhan,ID,-6.8844,112.2051,86.83,68,44,6.08,scattered clouds
Boyolangu,ID,-8.1181,111.8935,87.22,65,69,4.88,broken clouds
Grindavik,IS,63.8424,-22.4338,43.27,100,100,14.97,mist
Guangming,CN,45.3333,122.7833,55.51,17,42,9.44,scattered clouds
Bat Yam,IL,32.0231,34.7503,66.15,72,0,2.3,clear sky
Turinskaya Sloboda,RU,57.6232,64.3858,33.64,71,63,10.71,broken clouds
Port Lincoln,AU,-34.7333,135.8667,67.08,71,100,10.36,moderate rain
Zadar,HR,44.1197,15.2422,48.81,49,0,24.16,clear sky
Kismayo,SO,-0.3582,42.5454,82.98,74,90,12.73,overcast clouds
Faya,SA,18.3851,42.4509,60.91,45,0,3.13,clear sky
Morondava,MG,-20.2833,44.2833,78.08,92,2,6.2,clear sky
Nhulunbuy,AU,-12.2333,136.7667,81.21,83,75,11.5,light rain
Bowen,AU,-20.0167,148.2333,80.56,54,17,19.8,few clouds
Muros,ES,42.7762,-9.0603,53.83,88,96,6.87,overcast clouds
Lamu,KE,-2.2717,40.902,82.38,76,91,11.61,light rain
Ţaga,RO,46.95,24.05,38.08,79,99,9.73,overcast clouds
Syracuse,IT,37.0881,15.2792,55.31,66,98,9.01,overcast clouds
Ondjiva,AO,-17.0667,15.7333,66.24,83,100,1.1,light rain
Tootsi,EE,58.5781,24.7925,26.35,65,68,1.28,broken clouds
Babīna,IN,25.25,78.4667,97.83,10,0,6.76,clear sky
Abu Samrah,SY,35.3029,37.1841,60.8,38,18,3.96,few clouds
Praia,CV,14.9215,-23.5087,70.34,73,20,10.36,few clouds
Pandan,PH,14.0453,124.1694,81.84,78,81,10.22,broken clouds
Verāval,IN,20.9,70.3667,83.32,60,0,9.33,clear sky
Quatre Cocos,MU,-20.2078,57.7625,78.1,82,75,14.92,light rain
Avera,US,33.194,-82.5271,63.91,94,100,4.03,overcast clouds
Gunnedah,AU,-30.9833,150.25,75.22,37,0,2.42,clear sky
Nakamura,JP,32.9833,132.9333,67.12,50,1,5.64,clear sky
Kawambwa,ZM,-9.7915,29.0791,60.19,97,99,4.45,overcast clouds
Merauke,ID,-8.4667,140.3333,85.21,69,100,3.65,moderate rain
Hwange,ZW,-18.3693,26.5019,66.13,94,93,4.16,light rain
Knysna,ZA,-34.0363,23.0471,56.44,78,0,4.32,clear sky
Departamento de Maldonado,UY,-34.6667,-54.9167,57.22,92,1,4.23,clear sky
El Vigia,VE,8.6219,-71.6506,77.72,82,100,3.71,overcast clouds
Necochea,AR,-38.5473,-58.7368,56.41,74,100,3.69,overcast clouds
Campbellsville,US,37.3434,-85.3419,50.11,78,90,7.76,overcast clouds
Atid,RO,46.45,25.05,39.34,93,100,4.27,light rain
São João da Barra,BR,-21.6403,-41.0511,67.89,81,34,9.57,scattered clouds
Yarmolyntsi,UA,49.1924,26.8373,32.04,85,42,13.13,scattered clouds
Province of Trapani,IT,37.8333,12.6667,58.24,78,34,5.84,scattered clouds
Sun Valley,US,39.5963,-119.776,50.68,52,40,24.16,scattered clouds
Sawtell,AU,-30.3833,153.1,69.19,88,100,10.36,overcast clouds
Arroyo de la Encomienda,ES,41.6096,-4.7969,49.14,75,0,6.91,clear sky
Mata,PT,40.683,-7.4592,52.61,86,48,1.14,scattered clouds
Hamilton,US,39.1834,-84.5333,49.05,52,20,13.8,few clouds
Ibotirama,BR,-12.1853,-43.2206,70.74,93,99,1.68,overcast clouds
Luwuk,ID,-0.9516,122.7875,78.85,91,97,4.63,overcast clouds
Buraidah,SA,26.326,43.975,66.65,15,0,10.33,clear sky
Dicabisagan,PH,17.0818,122.4157,80.89,76,39,7.9,scattered clouds
Kirovskiy,RU,45.0917,133.5136,53.06,21,59,13.27,broken clouds
Zaykovo,RU,57.5613,62.7568,33.49,70,77,8.41,broken clouds
Chekhov,RU,55.1431,37.4711,33.75,89,100,13.82,light snow
Tāybād,IR,34.74,60.7756,60.76,48,100,17.45,overcast clouds
Haibara-akanedai,JP,34.5333,135.95,64.65,58,53,6.02,broken clouds
Cassilândia,BR,-19.1133,-51.7342,57.2,63,0,3.85,clear sky
Ulladulla,AU,-35.35,150.4667,76.1,54,1,12.84,clear sky
Vernon,CA,50.2581,-119.2691,47.01,31,100,1.14,overcast clouds
Olafsvik,IS,64.8945,-23.7142,43.72,95,82,12.73,broken clouds
Virginia Beach,US,36.8529,-75.978,68.05,83,100,3.0,overcast clouds
Hutchinson,US,38.0608,-97.9298,51.73,34,100,13.8,overcast clouds
Pec,XK,42.6591,20.2883,43.88,97,100,6.06,overcast clouds
Lakatoro,VU,-16.0999,167.4164,83.98,71,61,4.05,broken clouds
Omboué,GA,-1.5746,9.2618,76.6,90,98,4.23,overcast clouds
Cap Malheureux,MU,-19.9842,57.6142,78.48,84,65,8.01,broken clouds
Coyhaique,CL,-45.5752,-72.0662,40.95,87,0,2.3,clear sky
Mercedes,AR,-34.6515,-59.4307,58.03,86,92,6.17,overcast clouds
Namatanai,PG,-3.6667,152.4333,84.69,70,56,7.96,light rain
Noshiro,JP,40.2039,140.0242,58.03,59,6,12.53,clear sky
Al Bardīyah,LY,31.7561,25.0865,77.31,23,95,25.88,overcast clouds
Dallas,US,32.7668,-96.7836,61.83,75,100,12.66,overcast clouds
Cervo,ES,43.6702,-7.4101,54.07,92,84,1.19,broken clouds
Mérida,MX,20.9667,-89.6167,82.42,69,0,14.0,clear sky
Cherëmukhovo,RU,60.3484,59.9851,27.12,71,30,7.58,scattered clouds
Fereydūnkenār,IR,36.6864,52.5225,54.61,73,100,10.76,overcast clouds
Kampong Chhnang,KH,12.1667,104.55,92.17,51,100,10.25,overcast clouds
Karratha,AU,-20.7377,116.8463,96.26,25,11,10.27,few clouds
Yanam,IN,16.7333,82.2167,94.33,48,22,5.55,few clouds
Sonoita,MX,31.85,-112.8333,71.49,21,0,4.36,clear sky
Kashgar,CN,39.4547,75.9797,60.01,20,1,11.18,dust
Sokol,RU,59.4617,40.1206,29.84,79,10,4.27,clear sky
Grand Gaube,MU,-20.0064,57.6608,78.39,84,70,8.01,broken clouds
Bandi̇̄pur,NP,27.9333,84.4167,86.31,11,0,3.2,clear sky
Baní,DO,18.2833,-70.3333,74.64,84,64,8.19,broken clouds
Chimbote,PE,-9.0853,-78.5783,65.08,90,89,5.32,overcast clouds
Heihe,CN,50.2441,127.4902,48.4,30,45,14.74,scattered clouds
Oriximiná,BR,-1.7656,-55.8661,74.48,95,100,1.57,overcast clouds
Mango,US,27.9797,-82.3065,76.96,85,28,4.0,scattered clouds
Lerwick,GB,60.1545,-1.1494,44.6,96,100,16.46,overcast clouds
Ketchikan,US,55.3422,-131.6461,48.67,40,0,9.22,clear sky
Motygino,RU,58.1831,94.7592,53.01,75,96,10.22,overcast clouds
Tongliao,CN,43.6125,122.2653,60.33,23,33,10.58,scattered clouds
Ponferrada,ES,42.5466,-6.5962,57.09,78,58,1.01,broken clouds
Bragança,BR,-1.0536,-46.7656,73.44,99,100,0.85,overcast clouds
La Rioja,ES,42.25,-2.5,38.98,67,1,6.13,clear sky
Mbaïki,CF,3.8678,17.9892,71.13,82,76,2.39,broken clouds
Zaterechnyy,RU,44.7931,45.2097,52.25,64,6,7.27,clear sky
Blagoyevo,RU,63.3667,47.9167,27.21,87,55,7.07,broken clouds
Shetpe,KZ,44.1667,52.1167,56.03,48,22,5.44,few clouds
Afşin,TR,38.2477,36.914,50.85,50,9,1.34,clear sky
San Javier,ES,37.8063,-0.8374,62.33,65,0,1.01,clear sky
Dori,BF,14.0354,-0.0345,83.16,12,94,10.47,overcast clouds
Kandi,BJ,11.1342,2.9386,79.52,54,59,4.07,broken clouds
Goundam,ML,16.4145,-3.6708,74.86,13,73,10.0,broken clouds
