City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Ranong,TH,85.93,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
365,Plátanos,GR,62.08,overcast clouds,37.6667,21.6167,Hotel Kronio
366,Panabá,MX,76.87,clear sky,21.2833,-88.2667,Hotel California
367,Matara,LK,85.23,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
368,Tonota,BW,61.14,light rain,-21.4833,27.4833,Semotswane Baraka Lodge
369,Batemans Bay,AU,71.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
370,Manakara,MG,73.31,few clouds,-22.1333,48.0167,La Residence Manakara
375,Inírida,CO,73.0,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
380,Lasem,ID,87.21,scattered clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
382,Mount Isa,AU,91.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
383,Acaraú,BR,77.59,heavy intensity rain,-2.8856,-40.12,castelo pizzaria
384,Kiryat Gat,IL,69.4,scattered clouds,31.61,34.7642,OlusHome
385,Santa Rosalía,MX,71.67,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
387,Richards Bay,ZA,63.55,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
388,Port Augusta,AU,87.26,light rain,-32.5,137.7667,Majestic Oasis Apartments
390,Patiya,BD,87.75,scattered clouds,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
391,Phibun Mangsahan,TH,89.1,broken clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
392,Atambua,ID,83.32,broken clouds,-9.1061,124.8925,Kost Alfa Flat
393,Dera Ghazi Khan,PK,94.71,scattered clouds,30.0561,70.6348,Hamlani Khosa Chowk
398,Denia,ES,63.75,clear sky,38.8408,0.1057,Hotel Port Dénia
401,Riyadh,SA,69.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
402,Itarema,BR,76.96,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
403,São Filipe,CV,70.5,scattered clouds,14.8961,-24.4956,Hotel Xaguate
407,Kavaratti,IN,84.2,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
409,Hervey Bay,AU,77.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
411,Kerema,PG,84.49,broken clouds,-7.9631,145.7785,Frena Lodge
412,Dingle,PH,86.83,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
413,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
414,‘Āhuimanu,US,80.31,shower rain,21.4447,-157.8378,Paradise Bay Resort
422,Mumford,GH,77.36,overcast clouds,5.2618,-0.759,Spanish Villa
425,Rosarito,MX,61.75,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
428,Assiut,EG,71.78,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
429,Mount Gambier,AU,71.51,light rain,-37.8333,140.7667,The Commodore
430,Guane,CU,74.05,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
432,Jumla,NP,64.63,clear sky,29.2747,82.1838,Royal Garden Hotel
436,Ballina,AU,75.16,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
437,Buala,SB,82.87,light rain,-8.145,159.5921,Maringe Lagoon Lodge
438,Siparia,TT,76.82,clear sky,10.1333,-61.5,Brook Gardens
439,Nāgamangala,IN,84.29,scattered clouds,12.8156,76.7575,Annapurneshwari Residency nagamangala
440,Hokitika,NZ,62.01,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
442,Santa,PH,89.02,overcast clouds,17.486,120.4348,Monte Leah Beach Resort
443,Buluang,PH,88.12,few clouds,13.3068,123.3425,Sacueza Beach Resort
445,Sokoto,NG,83.07,broken clouds,13.0609,5.239,Grand Ibro Hotel
447,Soyo,AO,76.96,broken clouds,-6.1349,12.3689,Hotel Mpampa
448,Yavatmal,IN,96.55,clear sky,20.4,78.1333,Palash Inn
450,Alice Springs,AU,92.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
453,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
458,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
460,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
461,Khanpur,PK,95.02,broken clouds,28.6453,70.6567,Ahmad Bartan store
462,Lake Havasu City,US,80.6,broken clouds,34.4839,-114.3224,Heat Hotel
465,Yei,SS,66.25,overcast clouds,4.095,30.6779,City Link Hotel
466,Bentiu,SS,79.16,overcast clouds,9.2333,29.8333,Mandela hôtel
468,Siderno,IT,60.33,overcast clouds,38.2779,16.302,Grand Hotel President
469,Rio Grande,BR,65.82,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
471,Coral Hills,US,60.08,overcast clouds,38.8704,-76.9211,"Malolo Bed and Breakfast, LLC"
472,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
473,La Palma,US,64.81,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
475,Tayu,ID,87.13,few clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
476,Marang,MY,87.71,broken clouds,5.2056,103.2059,DBarakah Homestay
477,Port Macquarie,AU,70.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
478,Banjarmasin,ID,86.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
479,Bordighera,IT,61.09,broken clouds,43.7806,7.6645,Hotel Villa Elisa & Spa
480,Nchelenge,ZM,67.69,light rain,-9.3451,28.734,KD Travellers Home
481,João Câmara,BR,73.49,overcast clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
484,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
485,Ilhabela,BR,66.6,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
486,Nalbari,IN,80.58,clear sky,26.4456,91.4354,Ganesh Hotel
488,Grand-Lahou,CI,76.12,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
492,Beira,MZ,80.69,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
494,Dali,CN,70.11,few clouds,25.7,100.1833,Dali Travelling With Hostel
495,Fort Myers Beach,US,76.01,overcast clouds,26.452,-81.9481,Lani Kai Island Resort
496,Kanhangad,IN,86.02,broken clouds,12.3081,75.1063,Hotel Landmark
498,Buchanan,LR,77.5,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
501,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
503,Cape Coast,GH,76.86,overcast clouds,5.1053,-1.2466,Samrit Hotel
504,Kudahuvadhoo,MV,83.91,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
506,San Ignacio,BZ,82.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
514,Shōbara,JP,65.25,few clouds,34.85,133.0167,Kampo-no-sato Shobara
515,Mahon,ES,63.16,clear sky,39.8885,4.2658,ARTIEM Capri
518,Muisne,EC,76.23,light rain,0.6,-80.0333,Quinta Samay
520,Labuan,MY,86.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
521,Coruripe,BR,78.44,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
523,Sinnamary,GF,77.22,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
526,Grand-Santi,GF,71.06,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
527,Wamba,NG,75.97,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
531,Palauig,PH,84.7,broken clouds,15.435,119.9045,Alperi Botique Resort
533,Inhambane,MZ,72.77,moderate rain,-23.865,35.3833,Oceano
534,Artesia,US,64.29,clear sky,33.8658,-118.0831,Sheraton Cerritos Hotel
535,Durban,ZA,62.92,moderate rain,-29.8579,31.0292,Hilton Durban
536,Toamasina,MG,73.4,light rain,-18.1667,49.3833,Hotel H1
537,Broken Hill,AU,83.91,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
538,Nishihara,JP,71.26,overcast clouds,26.1842,127.7558,Minshuku Agaihama
540,Bilma,NE,80.71,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
542,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
543,Saint-Pierre,RE,74.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
544,Lorengau,PG,84.69,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
545,Bernalillo,US,71.15,clear sky,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
546,Jūnāgarh,IN,99.5,broken clouds,19.8667,82.9333,Hotel Swagat
548,Balabac,PH,84.18,broken clouds,7.9868,117.0645,Batalla’s Lodging House
549,Macultepec,MX,82.09,clear sky,18.1667,-92.8333,La guadalupana
550,Guánica,PR,78.91,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
551,Faanui,PF,82.15,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
553,Meulaboh,ID,86.05,scattered clouds,4.1363,96.1285,Kost Pria
558,Timbiquí,CO,74.75,light rain,2.7717,-77.6654,Hotel Sharey
559,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
561,Banda Aceh,ID,86.67,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
564,Itoman,JP,71.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
566,Kollam,IN,85.26,few clouds,8.8833,76.6,The Raviz Ashtamudi
567,Murray Bridge,AU,79.12,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
568,Camaná,PE,66.11,overcast clouds,-16.6228,-72.7111,Hostal Morales
569,Sur,OM,91.85,few clouds,22.5667,59.5289,Sur Plaza Hotel
575,Ruteng,ID,72.91,broken clouds,-8.6136,120.4721,Hotel FX 72
578,Honiara,SB,84.2,light rain,-9.4333,159.95,Heritage Park Hotel
579,Moussoro,TD,87.04,broken clouds,13.6408,16.4901,Hôtel Salama
581,Falam,MM,87.35,scattered clouds,22.9167,93.6833,Falang Government Guesthouse
582,San Miguel de Tucumán,AR,60.8,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
585,Bacolod City,PH,86.14,overcast clouds,10.6667,122.95,Planta Hotel & Residences
586,Weligama,LK,85.05,broken clouds,5.9667,80.4167,Weligama Bay Resort
589,Nabire,ID,84.49,broken clouds,-3.3667,135.4833,Hotel Nusantara I
590,Saint-Joseph,RE,73.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
592,Labuhan,ID,86.83,scattered clouds,-6.8844,112.2051,DoubleFAG
593,Boyolangu,ID,87.22,broken clouds,-8.1181,111.8935,Yos ega cv
596,Bat Yam,IL,66.15,clear sky,32.0231,34.7503,Ruth Daniel Residence Hotel
598,Port Lincoln,AU,67.08,moderate rain,-34.7333,135.8667,Port Lincoln Hotel
600,Kismayo,SO,82.98,overcast clouds,-0.3582,42.5454,Agan-Hotel
601,Faya,SA,60.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
602,Morondava,MG,78.08,clear sky,-20.2833,44.2833,La Case Bambou
603,Nhulunbuy,AU,81.21,light rain,-12.2333,136.7667,East Arnhem Real Estate
604,Bowen,AU,80.56,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
606,Lamu,KE,82.38,light rain,-2.2717,40.902,Lamu House
609,Ondjiva,AO,66.24,light rain,-17.0667,15.7333,COMBUESA
611,Babīna,IN,97.83,clear sky,25.25,78.4667,Tuntun Dhaba
613,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
614,Pandan,PH,81.84,broken clouds,14.0453,124.1694,Bonifacio Lodge
615,Verāval,IN,83.32,clear sky,20.9,70.3667,Lords Inn Somnath
616,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
618,Gunnedah,AU,75.22,clear sky,-30.9833,150.25,Gunnedah Motor Inn
619,Nakamura,JP,67.12,clear sky,32.9833,132.9333,Hotel Crown Hills Nakamura
620,Kawambwa,ZM,60.19,overcast clouds,-9.7915,29.0791,Chembe Nsofu
622,Hwange,ZW,66.13,light rain,-18.3693,26.5019,Hwange Colliery Guest House
625,El Vigia,VE,77.72,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
629,São João da Barra,BR,67.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
633,Sawtell,AU,69.19,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
637,Ibotirama,BR,70.74,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
638,Luwuk,ID,78.85,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
639,Buraidah,SA,66.65,clear sky,26.326,43.975,Mövenpick Qassim
640,Dicabisagan,PH,80.89,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
644,Tāybād,IR,60.76,overcast clouds,34.74,60.7756,لی پوش jean center
645,Haibara-akanedai,JP,64.65,broken clouds,34.5333,135.95,農事組合法人ざ・さとやま組合本部「離宮かやのもり」
647,Ulladulla,AU,76.1,clear sky,-35.35,150.4667,Sandpiper Motel
650,Virginia Beach,US,68.05,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
653,Lakatoro,VU,83.98,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
654,Omboué,GA,76.6,overcast clouds,-1.5746,9.2618,Hotel Olako
655,Cap Malheureux,MU,78.48,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
658,Namatanai,PG,84.69,light rain,-3.6667,152.4333,Seagulls Inn Namatani
660,Al Bardīyah,LY,77.31,overcast clouds,31.7561,25.0865,بورتو بردية
661,Dallas,US,61.83,overcast clouds,32.7668,-96.7836,"Hotel Indigo Dallas Downtown, an IHG Hotel"
663,Mérida,MX,82.42,clear sky,20.9667,-89.6167,Hotel Nacional Mérida
666,Kampong Chhnang,KH,92.17,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
667,Karratha,AU,96.26,few clouds,-20.7377,116.8463,ibis Styles Karratha
668,Yanam,IN,94.33,few clouds,16.7333,82.2167,The Regency Hotel
669,Sonoita,MX,71.49,clear sky,31.85,-112.8333,Hotel internacional
670,Kashgar,CN,60.01,dust,39.4547,75.9797,帕米尔青年旅舍
672,Grand Gaube,MU,78.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
673,Bandi̇̄pur,NP,86.31,clear sky,27.9333,84.4167,Bandipur Guest House
674,Baní,DO,74.64,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
675,Chimbote,PE,65.08,overcast clouds,-9.0853,-78.5783,Hotel Briliá
677,Oriximiná,BR,74.48,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
678,Mango,US,76.96,scattered clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
682,Tongliao,CN,60.33,scattered clouds,43.6125,122.2653,Meirujia Hotel
684,Bragança,BR,73.44,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
686,Mbaïki,CF,71.13,broken clouds,3.8678,17.9892,Motel MBM
691,San Javier,ES,62.33,clear sky,37.8063,-0.8374,Hotel Mar Menor
692,Dori,BF,83.16,overcast clouds,14.0354,-0.0345,Hôtel Liptako
693,Kandi,BJ,79.52,broken clouds,11.1342,2.9386,Baric Motel De Kandi
